,0
941,35667.04445338249
942,32850.80038571358
943,23267.253531455994
944,27701.4058470428
945,35813.97876000404
946,33343.56875294447
947,34940.21500045061
948,32331.93721950054
949,23137.20151400566
950,23579.149915218353
951,31974.97101059556
952,28264.552715927362
953,29850.69220328331
954,30071.250010252
955,21562.8809851408
956,21998.56274187565
957,27247.425105541945
958,26095.985020965338
959,27825.011739999056
960,29991.681732922792
961,21053.2997276783
962,26142.16243723035
963,35045.26624932885
964,33335.00336830318
965,34792.67125946283
966,31858.46255517006
967,23230.73373544216
968,27743.146118462086
969,35565.32555013895
970,34366.833383351564
971,36457.90320268273
972,32964.64316405356
973,23697.603535175323
974,28280.011130303144
975,35206.49354675412
976,33053.939058840275
977,35657.12878075242
978,32640.3764193058
979,23454.10419368744
980,28027.610377699137
981,35468.4230928421
982,33801.472329333425
983,35621.92636805773
984,33370.402610749006
985,23817.74506497383
986,27883.078311383724
987,35306.639407366514
988,33778.67019096017
989,34423.83503997326
990,32491.773347377777
991,23255.99654483795
992,24125.514206051826
993,32274.40270665288
994,29952.586598098278
995,29733.538816332817
996,30861.8445250839
997,21763.94486927986
998,22533.14197599888
999,28081.38498362899
1000,26329.541169553995
1001,28027.793447315693
1002,31650.251377940178
1003,21791.975659370422
1004,27041.794452100992
1005,36798.4577589035
1006,35708.25864893198
1007,36178.99684128165
1008,33603.5547298789
1009,24017.46723628044
1010,28458.455746263266
1011,36280.25348377228
1012,35216.31509208679
1013,36926.21123561263
1014,33672.82045543194
1015,24076.863156318665
1016,28538.818122953176
1017,35698.16389513016
1018,34321.90853817761
1019,34932.77336013317
1020,32938.726149998605
1021,23406.622555971146
1022,28030.238363981247
1023,34739.92487460375
1024,32387.761487215757
1025,34426.824778199196
1026,32360.277911752462
1027,23133.67253804207
1028,27606.10634571314
1029,34714.16510498524
1030,32998.825133144855
1031,34168.614855736494
1032,31787.296933934093
1033,23396.44723558426
1034,23736.789207696915
1035,31952.94083571434
1036,29156.735512435436
1037,29723.082310587168
1038,30396.159891724586
1039,21427.92318058014
1040,22174.237781763077
1041,27916.19157668948
1042,28859.47751879692
1043,28669.783494263887
1044,30775.115194529295
1045,21108.480659246445
1046,26101.93179216981
1047,35706.633756518364
1048,34309.58244892955
1049,34818.88252103329
1050,33103.71165925264
1051,23810.048961877823
1052,28192.989247322083
1053,36765.8366676867
1054,36032.731396853924
1055,36411.496051996946
1056,33269.82759347558
1057,24287.64448738098
1058,28728.71276625991
1059,35960.70646518469
1060,34854.51967421174
1061,35476.556728333235
1062,33167.15784499049
1063,23405.054299473763
1064,28103.008735984564
1065,34898.68731313944
1066,33220.15689782798
1067,33351.63119469583
1068,32368.465989515185
1069,23024.743324279785
1070,27467.11263385415
1071,34089.0719050318
1072,31363.783324033022
1073,32393.533963382244
1074,30766.340615957975
1075,22856.874468564987
1076,23610.042813301086
1077,30917.241829782724
1078,28298.420196145773
1079,28330.754518181086
1080,29429.393177360296
1081,21944.500170230865
1082,21872.689019203186
1083,27248.51554635167
1084,26582.310454458
1085,26946.63175442815
1086,30420.22417345643
1087,21587.993829011917
1088,26402.175535589457
1089,35312.99858376384
1090,33259.42273809016
1091,33618.51977363229
1092,31715.322456091642
1093,23405.20745575428
1094,27880.504567950964
1095,34783.18913078308
1096,33273.48659273982
1097,33726.60443420708
1098,32128.387935981154
1099,23397.016785502434
1100,28146.99569836259
1101,34540.00806719065
1102,31947.945707440376
1103,31764.735897049308
1104,31868.933818161488
1105,23056.693957924843
1106,27449.93519976735
1107,34193.46525993943
1108,32366.242431536317
1109,33261.75817194581
1110,31632.760053247213
1111,23085.305465579033
1112,27168.311909765005
1113,34182.406698450446
1114,32019.78996255994
1115,31993.766157895327
1116,31422.913414224982
1117,23144.857732653618
1118,23706.06701505184
1119,30996.408071875572
1120,27474.503620922565
1121,27319.391805917025
1122,30252.31543329358
1123,21436.708926796913
1124,21934.897590517998
1125,26966.669701129198
1126,25304.95038124919
1127,25076.35266724229
1128,30831.48887051642
1129,21323.05101287365
1130,26127.80802437663
1131,35005.20232126117
1132,32881.67015081644
1133,32952.562962427735
1134,32210.345890015364
1135,23174.925820350647
1136,27605.833536088467
1137,34673.103666871786
1138,32801.4086817801
1139,33217.437376737595
1140,32276.97605124116
1141,23282.130430579185
1142,27906.40632620454
1143,34342.38780629635
1144,32428.666977137327
1145,32509.826245099306
1146,32135.402015015483
1147,23369.289117217064
1148,27745.10324832797
1149,34385.25561106205
1150,33080.73482699692
1151,32285.931505784392
1152,32317.53434704244
1153,23424.487597942352
1154,27302.325250595808
1155,33867.71262007952
